,pp,Intgov,Intciv,Elections,Interrim,Natalks,Shagov,Pol_prov,Aut,Fed,Ind,Ref,Shaloc,Regdev,Cul,Demarcation,Locgov,Terr_prov,combination
131,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132096
143,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
144,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,521
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
151,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148480
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
157,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5120
158,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,21504
159,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,93184
160,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,93184
161,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132096
163,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,181251
164,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,50691
165,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,132099
